Nom_echantillons	Id	Couple	Type	Zone	Cross	pH_eau	pH_KCl	Pi	Azote_total	Calcaire_total	Carbone_total	Carbone_organique_total	C/N	Matiere_organique	Calcium	Magnesium	Manganese	Potassium	Argiles	Limons	Sables
MTB1	1	1	Plante	Brule	Plante_Brule	7.72	7.05	40.8877701	1.360219121	3	15.44882655	15.1	11.1	26.1	15.03	0.7013	0.0561	0.5695	168	184	648
MTHB1	2	1	Plante	Hors brule	Plante_Hors brule	7.95	7.17	35.4072694	1.279534101	6	14.96134639	14.2	11.1	24.6	15.73	0.665	0.0529	0.6448	165	176	659
MTB2	3	1	Plante	Brule	Plante_Brule	8.33	7.82	10.1069375	1.327215731	279	46.77111149	13.3	10	23	35.23	0.5249	0.0248	0.2964	117	226	657
MTHB2	4	1	Plante	Hors brule	Plante_Hors brule	8.26	7.8	12.1121344	1.574010849	281	48.7513113	15	9.53	26	35.22	0.544	0.023	0.3444	119	234	647
MTB3	5	1	Plante	Brule	Plante_Brule	8.24	7.68	16.3042671	1.594199836	117	31.08954668	17	10.7	29.4	34.73	0.7308	0.0338	0.5266	145	168	687
MTHB3	6	1	Plante	Hors brule	Plante_Hors brule	8.14	7.61	21.7357888	1.794973761	114	33.22153091	19.5	10.9	33.7	34.12	0.7405	0.0326	0.61	148	168	684
MTB4	7	1	Plante	Brule	Plante_Brule	8.23	7.68	7.48291167	1.34521246	55	20.74397087	14.1	10.5	24.4	30.59	0.7728	0.0245	0.256	130	116	754
MTHB4	8	1	Plante	Hors brule	Plante_Hors brule	8.18	7.63	11.7947191	1.63007021	59	24.48609591	17.4	10.7	30.1	30.57	0.8208	0.023	0.2647	132	128	740
SSB1	9	1	Spontane	Brule	Spontane_Brule	8.27	7.6	4.88581569	1.43244341	241	48.32493782	19.4	13.5	33.6	36.65	0.3472	0.0208	0.1513	104	117	779
SSHB1	10	1	Spontane	Hors brule	Spontane_Hors brule	8.15	7.67	4.82951662	1.622951478	260	52.35712051	21.2	13.1	36.7	36.57	0.3621	0.0237	0.148	104	114	782
SSB2	11	1	Spontane	Brule	Spontane_Brule	8.18	7.66	11.9638316	1.191242337	99	23.79074812	11.9	9.99	20.6	33.77	0.476	0.0218	0.2849	128	112	760
SSHB2	12	1	Spontane	Hors brule	Spontane_Hors brule	8.23	7.63	14.2759111	1.188838929	80	21.65220261	12.1	10.2	20.9	33.02	0.4676	0.0272	0.2472	140	120	740
SSB3	13	1	Spontane	Brule	Spontane_Brule	8.26	7.69	9.67991542	1.07091032	107	24.25646305	11.4	10.6	19.7	33.77	0.4198	0.0199	0.2283	117	107	776
SSHB3	14	1	Spontane	Hors brule	Spontane_Hors brule	8.24	7.62	21.9792275	1.06323652	83	21.80911303	11.8	11.1	20.4	32.88	0.4418	0.024	0.2134	127	112	761
SSB4	15	1	Spontane	Brule	Spontane_Brule	8.05	7.67	9.04102345	2.064835727	262	59.51002121	28.1	13.6	48.6	37.07	0.3758	0.0251	0.1788	101	134	765
SSHB4	16	1	Spontane	Hors brule	Spontane_Hors brule	7.99	7.57	10.0683123	2.574054599	246	69.52382088	40	15.5	69.2	38.91	0.4888	0.0251	0.1568	103	122	775
GCB1	17	2	Spontane	Brule	Spontane_Brule	7.95	7.44	14.7884717	6.001343727	539	126.6211987	61.9	10.3	107	50.69	1.519	0.0211	0.3606	327	330	343
GCHB1	18	2	Spontane	Hors brule	Spontane_Hors brule	7.92	7.4	17.8808829	7.443079352	532	146.8571854	83	11.2	144	54.79	1.795	0.0329	0.3948	302	349	349
GCB2	19	2	Spontane	Brule	Spontane_Brule	NA	NA	NA	7.412465215	648	157.7754688	80	10.8	138	52.15	1.303	0.0242	0.3137	276	299	425
GCHB2	20	2	Spontane	Hors brule	Spontane_Hors brule	7.97	7.58	12.6187696	5.157340169	672	136.3933372	55.8	10.8	96.5	46.06	1.464	0.0314	0.3195	306	301	393
GCB3	21	2	Spontane	Brule	Spontane_Brule	8.01	7.61	9.71595614	6.128459573	647	141.3159847	63.7	10.4	110	48.38	1.105	0.0214	0.296	235	325	440
GCHB3	22	2	Spontane	Hors brule	Spontane_Hors brule	7.88	7.52	12.1048667	7.084406614	650	150.0535297	72.1	10.2	125	51	1.243	0.0292	0.3365	229	281	490
GCB4	23	2	Spontane	Brule	Spontane_Brule	7.88	7.43	23.1884134	8.657122254	651	178.206234	100	11.6	173	51.58	1.816	0.0328	0.381	237	234	529
GCHB4	24	2	Spontane	Hors brule	Spontane_Hors brule	7.77	7.34	27.2456744	10.19267797	441	158.4515953	106	10.4	183	60.59	2.011	0.034	0.6501	342	301	357
HVB1	25	2	Plante	Brule	Plante_Brule	8.3	7.23	2.33830913	2.781767845	75	39.54331875	30.5	11	52.8	61.09	1.561	0.0151	0.8082	442	459	99
